Time,Country,"Core CPI,not seas.adj,,,","Core CPI / CPI, not seas. adj.","CPI Price, seas. adj.,,,",CPI seasonal / CPI not seasonal,"CPI Price, % y-o-y, not seas. adj.,,","Core CPI,seas.adj,,,","Core CPI / CPI, seas. adj.",Core CPI Seasonal / Core CPI Not Seasonal,"CPI Price,not seas.adj,,,","GDP,current US$,millions,seas. adj.,","Stock Markets, US$, Billions","Unemployment rate,Percent,,,","Industrial Production, constant US$, seas. adj.,,","Industrial Production, constant US$,,,",Industrial Production % of GDP,"Imports Merchandise, Customs, current US$, millions, seas. adj.","Imports Merchandise, Customs, current US$, millions, not seas. adj.","Exports Merchandise, Customs, current US$, millions, seas. adj.","Export-Import Ratio, seas. adj.","Import-Export Ratio, seas. adj.","Exports Merchandise, Customs, current US$, millions, not seas. adj.","Exchange rate, old LCU per USD extended forward, period average,,","Exchange rate, new LCU per USD extended backward, period average,, (USD to EURO)","Retail Sales Volume,Index,,,"
2003 [2003],Canada,91.87574671,1.0291871966788675,88.72337363,0.9938744821783604,2.741666667,91.46595302,1.0309115769361665,0.9955396967679241,89.27019983,898422.3759,45.79350582,7.575,235480000000,239997000000,0.2671315924868652,386.559678,316681,283893.9,-0.3155613082744014,0.3155613082744014,289.7364663,1.400428623,1.400428623,56.68416671
2003 [2003],China,..,,83.41109699,1.0056942630886805,1.123002481,..,,,82.93882152,1657756.381,..,4.20135764,1108100000000,1056450000000,0.6372769920286616,412895.5416,412759.9087,436029.8663,-0.013955201720318396,0.013955201720318396,438229,8.277098414,8.277098414,..
2003 [2003],France,90.48982869,1.0018169494309381,89.87171309,0.9949737639176904,2.113952084,89.90957447,1.0004212825003356,0.9935876304729471,90.32571144,1846808.469,60.00255059,8.125,391597000000,398988000000,0.21604189427182013,593.7065,371086,420418.7176,-0.22732460790984169,0.22732460790984169,421139.7929,5.805989577,0.885047571,72.97968819
2003 [2003],Germany,92.13118001,1.0182048989715613,90.49802229,1.000155752188499,0.99317817,91.65233745,1.0127551423864383,0.9948026003797192,90.48392922,2506280.536,43.34459081,8.770690765,870362000000,961663000000,0.38370126016890554,604687.6143,605304.9417,752548.0946,-0.058995981565568824,0.058995981565568824,752420,1.731314526,0.885047571,85.14373062
2003 [2003],India,..,,64.37208694,0.9980199852562358,4.324896043,..,,,64.49979749,573881.2574,22.12139919,..,284191000000,274472000000,0.47827315574568546,72510.00659,72569,2748.921647,0.12156013817049256,-0.12156013817049256,2743.19,46.57471071,46.57471071,..
2003 [2003],Italy,89.23611111,1.0134554848495352,87.91939927,0.9985015741555855,2.708897268,87.77418195,0.9983482903522346,0.9836172919032979,88.05133767,1579196.759,84.74296735,..,542108000000,608483000000,0.38531170769709006,657.1386053,657.0105368,297396,-0.18790493312727222,0.18790493312727222,300087,1713.807866,0.885047571,92.93473614
2003 [2003],Japan,103.2225579,1.0258538162933153,100.3112659,0.9969206056724593,-0.258759082,..,,,100.621118,4454237.317,68.88753816,5.252234321,1647200000000,1804640000000,0.40515129113404624,383476.5715,383343.1299,471338,-0.01972535862978582,0.01972535862978582,471927,115.9271661,115.9271661,72.29942313
2003 [2003],United Kingdom,89.96375987,1.0462183094569153,85.54786641,0.9948644243242901,1.360034898,89.41502602,1.0452046295516724,0.9939005011485409,85.98947185,2056231.057,72.44655151,5.008333333,502474000000,512997000000,0.24948412205603604,909.3382684,510346,187887.5257,-0.09093247901060178,0.09093247901060178,187905,0.612149024,0.612149024,94.94864534
2003 [2003],United States,87.7952255,1.0341517931630109,84.60236887,0.9965427046229183,2.297998517,87.57756093,1.0351667701476737,0.9975207698509756,84.895879,11458200,85.88855074,5.991666667,2970900000000,2979910000000,0,1256885.368,1257121.2,724771,0.046439612504581874,-0.046439612504581874,724770.8,1,1,95.03238053
2003Q1 [2003Q1],Brazil,..,,..,,..,..,,,..,117442.1385,..,..,..,..,,12151.1759,11242,16787.71655,-0.03947936157514707,0.03947936157514707,15033,..,..,..
2003Q1 [2003Q1],Canada,..,,..,,..,..,,,..,207050.8386,..,..,..,..,,91.79400764,76601,69924.6,-0.33727371724038024,0.33727371724038024,70.81118011,..,..,..
2003Q1 [2003Q1],China,..,,..,,..,..,,,..,397775.9968,..,..,..,..,,97636.73986,87254.44363,98290.75801,-0.0016441870682529919,0.0016441870682529919,86287,..,..,..
2003Q1 [2003Q1],France,..,,..,,..,..,,,..,432791.5077,..,..,..,..,,142.1386,90776,92903.00664,-0.21433153467581315,0.21433153467581315,95210.16839,..,..,..
2003Q1 [2003Q1],Germany,..,,..,,..,..,,,..,589321.7894,..,..,..,..,,144897.5996,143499.7719,175303.4007,-0.05159456454334863,0.05159456454334863,175541,..,..,..
2003Q1 [2003Q1],India,..,,..,,..,..,,,..,132493.4328,..,..,..,..,,16123.48058,16093,645.0124378,0.11682441774729228,-0.11682441774729228,682.46,..,..,..
2003Q1 [2003Q1],Italy,..,,..,,..,..,,,..,368815.574,..,..,..,..,,155.2447676,161.2399594,71738,-0.19408821177491814,0.19408821177491814,69978,..,..,..
2003Q1 [2003Q1],Japan,..,,..,,..,..,,,..,1077291.117,..,..,..,..,,94012.68222,92367.60403,112019,-0.01671444003933061,0.01671444003933061,109065,..,..,..
2003Q1 [2003Q1],United Kingdom,..,,..,,..,..,,,..,493591.1905,..,..,..,..,,221.2821602,124211,47902.2103,-0.09660003877196427,0.09660003877196427,47453,..,..,..
2003Q1 [2003Q1],United States,..,,..,,..,..,,,..,2795900,..,..,..,..,,309477.4096,296487.2,175991,0.047743628026753464,-0.047743628026753464,174295.6,..,..,..
2003Q2 [2003Q2],Brazil,..,,..,,..,..,,,..,140890.4482,..,..,..,..,,11448.61616,11371,17928.82116,-0.04599463684579292,0.04599463684579292,17946,..,..,..
2003Q2 [2003Q2],Canada,..,,..,,..,..,,,..,221544.8059,..,..,..,..,,100.2075337,77382,68951.9,-0.3107799895673383,0.3107799895673383,72.51046238,..,..,..
2003Q2 [2003Q2],China,..,,..,,..,..,,,..,402678.0575,..,..,..,..,,96950.66773,98473.71282,103759.9748,-0.016910052443073573,0.016910052443073573,103838,..,..,..
2003Q2 [2003Q2],France,..,,..,,..,..,,,..,459721.0985,..,..,..,..,,159.4347,92667,103601.1414,-0.22500970052824318,0.22500970052824318,104681.9282,..,..,..
