Time,Country,"Core CPI,not seas.adj,,,","CPI Price, seas. adj.,,,","CPI Price, % y-o-y, not seas. adj.,,","Core CPI,seas.adj,,,","CPI Price,not seas.adj,,,","GDP,current US$,millions,seas. adj.,","Stock Markets, US$,,,","Total Reserves,,,,","Unemployment rate,Percent,,,","Industrial Production, constant US$, seas. adj.,,","Industrial Production, constant US$,,,","Imports Merchandise, Customs, current US$, millions, seas. adj.","Imports Merchandise, Customs, current US$, millions, not seas. adj.","Exports Merchandise, Customs, current US$, millions, seas. adj.","Export-Import Ratio, seas. adj.","Import-Export Ratio, seas. adj.","Exports Merchandise, Customs, current US$, millions, not seas. adj.","Exchange rate, old LCU per USD extended forward, period average,,","Exchange rate, new LCU per USD extended backward, period average,,","Retail Sales Volume,Index,,,"
1997Q2 [1997Q2],United States,..,..,..,..,..,2129700,..,..,..,..,..,214136.303,214174.8,173154,0.01924322815420013,-0.01924322815420013,174966.4,..,..,..
1997Q3 [1997Q3],Brazil,..,..,..,..,..,222593.8147,..,..,..,..,..,15809.8181,16514,13756.34065,0.009225222420342485,-0.009225222420342485,14892,..,..,..
1997Q3 [1997Q3],Canada,..,..,..,..,..,164774.3656,..,..,..,..,..,68.6161386,54498,54935.7,-0.33298312915124945,0.33298312915124945,54.2123407,..,..,..
1997Q3 [1997Q3],China,..,..,..,..,..,242472.3866,..,..,..,..,..,35534.04494,35324.80394,46362.54139,-0.04465867887819932,0.04465867887819932,48215,..,..,..
1997Q3 [1997Q3],France,..,..,..,..,..,352838.9685,..,..,..,..,..,134.9242485,60978,77585.27194,-0.2195062184337499,0.2195062184337499,72642.01352,..,..,..
1997Q3 [1997Q3],Germany,..,..,..,..,..,536240.6625,..,..,..,..,..,110320.6826,106899.5423,128072.5936,-0.033104373169388274,0.033104373169388274,124236,..,..,..
1997Q3 [1997Q3],India,..,..,..,..,..,102690.5516,..,..,..,..,..,9806.603379,9788,320.6051042,0.09237459656220212,-0.09237459656220212,317.57,..,..,..
1997Q3 [1997Q3],Italy,..,..,..,..,..,298931.3552,..,..,..,..,..,192.7476182,191.1866927,58903,-0.19640044900114245,0.19640044900114245,56619,..,..,..
1997Q3 [1997Q3],Japan,..,..,..,..,..,1132839.751,..,..,..,..,..,85871.91788,84925.28973,113158,-0.024086444791431058,0.024086444791431058,107073,..,..,..
1997Q3 [1997Q3],United Kingdom,..,..,..,..,..,394238.6873,..,..,..,..,..,227.4864474,79220,42668.53798,-0.10765318802998156,0.10765318802998156,41377,..,..,..
1997Q3 [1997Q3],United States,..,..,..,..,..,2165700,..,..,..,..,..,221177.9892,224491.5,176446,0.020654748672484652,-0.020654748672484652,169041.3,..,..,..
1997Q4 [1997Q4],Brazil,..,..,..,..,..,220653.1465,..,..,..,..,..,15141.97388,16145,13484.17299,0.007513153183156626,-0.007513153183156626,13288,..,..,..
1997Q4 [1997Q4],Canada,..,..,..,..,..,163955.8352,..,..,..,..,..,66.20272198,57321,55346.9,-0.3371682210065068,0.3371682210065068,57.34830537,..,..,..
1997Q4 [1997Q4],China,..,..,..,..,..,248660.6557,..,..,..,..,..,37190.89625,44018.85195,48405.46763,-0.04509990271050347,0.04509990271050347,53744,..,..,..
1997Q4 [1997Q4],France,..,..,..,..,..,368187.2901,..,..,..,..,..,161.7155882,70706,82372.60322,-0.22328551213560757,0.22328551213560757,88078.68592,..,..,..
1997Q4 [1997Q4],Germany,..,..,..,..,..,554824.6494,..,..,..,..,..,113136.3748,117593.5096,130427.595,-0.03116519826344975,0.03116519826344975,136078,..,..,..
1997Q4 [1997Q4],India,..,..,..,..,..,102443.7957,..,..,..,..,..,10528.7381,10602,323.82168,0.0996147824304015,-0.0996147824304015,320.23,..,..,..
1997Q4 [1997Q4],Italy,..,..,..,..,..,312461.2899,..,..,..,..,..,179.7382693,177.7017325,61202,-0.19529542923614487,0.19529542923614487,64302,..,..,..
1997Q4 [1997Q4],Japan,..,..,..,..,..,1067850.578,..,..,..,..,..,79158.78874,81188.44893,107462,-0.026504842384418317,0.026504842384418317,108343,..,..,..
1997Q4 [1997Q4],United Kingdom,..,..,..,..,..,397585.6545,..,..,..,..,..,225.5623251,82968,42625.30858,-0.10664304854817139,0.10664304854817139,44285,..,..,..
1997Q4 [1997Q4],United States,..,..,..,..,..,2191500,..,..,..,..,..,223712.5512,228068.3,174669,0.02237898754277891,-0.02237898754277891,180228.4,..,..,..
1998 [1998],Brazil,49.37447832,47.95990499,3.199284198,49.31928571,47.94441959,865187.0578,20.79931656,44556,..,3.68572E11,4.06656E11,57771.11635,57597,51214.95308,0.0075777408028629405,-0.0075777408028629405,51078,1.16015928,1.16015928,..
1998 [1998],Canada,83.05704898,78.79965458,0.986811768,82.67915552,79.29336809,634542.6183,41.09265348,23371.21204,8.291666667,2.10261E11,..,297.2177867,243090,219919.3,-0.34611084563821487,0.34611084563821487,224.3472982,1.48337466,1.48337466,44.16442835
1998 [1998],China,..,83.37340788,-0.774210956,..,82.90869869,1027463.391,..,149751.8012,..,6.32073E11,6.03641E11,141007.1191,140236.193,184660.6384,-0.042486690700982835,0.042486690700982835,183711,8.27908977,8.27908977,..
1998 [1998],France,84.5324768,83.13842228,0.643500644,83.99202128,83.54703138,1506823.346,66.44743409,49371.89006,9.875,3.69143E11,3.77105E11,576.4115965,283831,341719.5491,-0.2263988930149613,0.2263988930149613,342720.4808,5.898701478,0.898665929,..
1998 [1998],Germany,88.20622232,85.01438332,1.003951725,87.74941788,84.82304081,2241996.081,66.74161239,80579.39319,8.10701785,8.17204E11,9.08656E11,471562.6367,471887.531,543507.6783,-0.03208972674381765,0.03208972674381765,543782,1.75959266,0.898665929,86.09371576
1998 [1998],India,..,51.8925535,13.20907866,..,52.01649934,411568.9594,21.65608093,30056,..,2.20317E11,2.12876E11,42974.68089,42975,1378.670528,0.10106692793994998,-0.10106692793994998,1379.3,41.23744902,41.23744902,..
1998 [1998],Italy,79.61440058,77.99443812,1.983743129,78.3171521,78.10918294,1268078.605,107.6176625,34890.54441,..,5.42071E11,6.08483E11,672.1920373,672.9633547,243626,-0.19159207245098187,0.19159207245098187,245735,1736.539028,0.898665929,..
1998 [1998],Japan,105.9499832,103.3126872,0.666739975,..,103.631815,4052751.819,100.6067723,215598.1631,4.114412296,1.63884E12,1.79473E12,280417.9772,280814.9452,390774,-0.027229899023826696,0.027229899023826696,388224,130.7625406,130.7625406,69.46089463
1998 [1998],United Kingdom,85.08936703,80.60468316,1.557801938,84.56570114,81.02825978,1651244.156,97.26319343,32912.05599,6.266666667,5.05867E11,5.16543E11,988.9536148,336477,164265.2745,-0.09888078652203872,0.09888078652203872,164202,0.603510815,0.603510815,77.58488587
1998 [1998],United States,78.77981032,74.95049535,1.547007216,78.58449703,75.22755557,9062800,82.37348496,85603.43884,4.5,2.78008E12,2.78851E12,911417.837,911896.7,682137,0.02529911693957718,-0.02529911693957718,682138.5,1,1,78.66548559
1998Q1 [1998Q1],Brazil,..,..,..,..,..,219393.8144,..,..,..,..,..,15139.34008,13710,13503.99804,0.007453911335068157,-0.007453911335068157,11891,..,..,..
1998Q1 [1998Q1],Canada,..,..,..,..,..,163379.5114,..,..,..,..,..,71.27605953,59952,55012.6,-0.3362803785473311,0.3362803785473311,55.53810452,..,..,..
