Column,Time,Country,"Core CPI,not seas.adj,,,","CPI Price, seas. adj.,,,","CPI Price, % y-o-y, not seas. adj.,,","Core CPI,seas.adj,,,","CPI Price,not seas.adj,,,","Stock Markets, US$, Billions","Total Reserves,,,,","Unemployment rate,Percent,,,","Industrial Production, constant US$, seas. adj.,,","Industrial Production, constant US$,,,","Imports Merchandise, Customs, current US$, millions, seas. adj.","Imports Merchandise, Customs, current US$, millions, not seas. adj.","Exports Merchandise, Customs, current US$, millions, seas. adj.","Exports Merchandise, Customs, current US$, millions, not seas. adj.","Exchange rate, old LCU per USD extended forward, period average,,","Exchange rate, new LCU per USD extended backward, period average,,","Retail Sales Volume,Index,,,",Retail Sales Volume to CPI Correlaton,Stock Market Value to CPI Correlaton
2828,2018M08 [2018M08],Germany,113.9678081,112.1898598,1.860920666,112.1869962,113.2177681,171.8696614,63702.82139,3.352996789,92828043195,99266592396,106929.4211,101287.6334,128234.4292,121686,1.694608696,0.866315038,100.3514822,-5.451247803447621,-8.286397515628005
2829,2018M08 [2018M08],Italy,110.8552632,111.123208,1.547061412,110.3559871,111.8221258,73.45146403,54385.28685,10.14229108,39289604696,29740385742,57.02554248,44.27811861,45911,35461,1677.516087,0.866315038,79.19299316,1.7188951768426648,1.2532199664664834
2830,2018M08 [2018M08],Japan,101.3091641,104.9586777,1.296111665,100.7014028,105.1759834,173.0624965,1230788.648,2.464926966,1.40118E11,1.44122E11,63755.97289,64269.89102,62810,60250,111.03,111.03,83.89782386,0.5764632297521287,-4.106804544211739
2831,2018M08 [2018M08],United Kingdom,121.4253188,120.4650998,2.641954835,120.4344874,121.3030013,120.3590316,146962.8847,4.1,41151096828,40179165184,56.08905406,,29864.49354,29063.91358,0.776853893,0.776853893,102.102065,2.2698626382338665,6.480851930839823
2832,2018M08 [2018M08],United States,117.2323546,115.8247811,2.690946744,116.9657304,116.3641566,244.7656615,126562.6486,3.8,2.88929E11,2.95509E11,213577.1402,221987.7,138105,140118.2,1.0,1.0,137.7209902,7.583441221066355,29.422579524261536
2833,2018M09 [2018M09],Brazil,165.4325175,167.4410411,4.486975563,165.1587142,167.1204715,48.7101283,380738,12.11535279,36960487639,42595118942,13221.52702,14116,18775.55893,19187,4.1024,4.1024,79.15574586,-0.37232329860191576,-1.1786668394386033
2834,2018M09 [2018M09],Canada,114.7849462,115.5440415,2.371843917,114.3621766,116.159861,110.7154216,80683.07044,5.9,22701003285,22240907719,52.0191,,38520.3,38.32290839,1.303725,1.303725,100.362744,3.7423217691960087,-36.67004594436093
2835,2018M09 [2018M09],China,116.1597374,124.6952065,2.271088339,115.9903752,124.1721082,85.45227204,3109112.549,3.80441133,4.73314E11,4.48907E11,181615.9233,195043.3235,213338.5943,225398,6.8554,6.8554,,,3.059037066968761
2836,2018M09 [2018M09],France,110,110.0893047,2.150537634,109.2340426,110.6528475,124.1129763,69073.93949,8.62962963,30973438410,31177963341,41.36,52489,53266.13274,53556.00213,5.624925,0.857494924,109.0212491,24.03204729935674,-7.140523345209175
2837,2018M09 [2018M09],Germany,113.6653343,112.5134844,2.054794521,112.2299839,113.4344529,169.8075334,63246.83187,3.447059276,92563575836,1.02298E11,104565.4648,106089.2577,123488.942,127337,1.67725,0.857494924,100.0711708,-79.1023687624617,-12.606218102935287
2838,2018M09 [2018M09],Italy,113.377193,111.0937171,1.380621329,110.3559871,111.2798265,74.26117373,54237.39514,10.16651586,39252816677,44322236924,58.72865693,67.5120031,44886,43259,1660.38525,0.857494924,78.32620418,1.42399663758259,1.0038934495628298
2839,2018M09 [2018M09],Japan,101.2084592,104.9586777,1.094527363,100.7014028,105.2795031,176.5094426,1231531.292,2.37581287,1.39713E11,1.49788E11,57819.55317,58816.04596,60355,59918,112.0905,112.0905,83.89782386,0.45718608431515434,-3.621074820333227
2840,2018M09 [2018M09],United Kingdom,121.4594718,120.5592056,2.401409858,120.4910613,121.4305233,118.9965647,142451.6806,4.1,40911614209,41116407374,50.4051018,,29871.76776,29282.98765,0.765894694,0.765894694,101.7164103,3.800104355884164,953.4128817438054
2841,2018M09 [2018M09],United States,117.421826,115.9884683,2.359958611,117.210934,116.4993747,250.5212349,125670.4827,3.7,2.89326E11,2.91949E11,211839.0967,211409.9,140268.4,139331.2,1.0,1.0,137.5920372,16.161159310943955,-222.85192143122705
2842,2018M10 [2018M10],Brazil,165.7633835,168.3806109,4.535075421,165.6946885,167.8723908,58.11649536,380290,12.08699843,37173148672,44990213832,15156.76895,16106,20972.04363,21898,3.760021739,3.760021739,82.19733072,-0.24674770135177354,-0.9043861749434032
2843,2018M10 [2018M10],Canada,115.4121864,115.8894646,2.521008403,114.6297948,116.5073849,106.1366514,82088.16992,5.8,22711091723,22424111242,48.586,,38350.4,37.76036352,1.301826087,1.301826087,99.42857227,2.3097697314117727,6.349234850146663
2844,2018M10 [2018M10],China,116.3894967,124.9150429,2.267703428,116.2091217,124.4169776,80.70632166,3075306.97,3.796736999,4.7653E11,4.27731E11,184680.3216,180010.8589,212337.4983,214759,6.926804348,6.926804348,,,5.000370506807781
2845,2018M10 [2018M10],France,109.9678801,110.2275144,2.157848064,109.3297872,110.7703815,117.049348,69370.80814,8.455555556,31256108625,34691016585,44.085,59004,56690.42884,61935.45254,5.712369565,0.870906691,108.3197932,21.30406075107701,-5.714813358311564
2846,2018M10 [2018M10],Germany,113.676137,112.7292341,2.350636631,112.4234283,113.6511376,159.996092,63842.87531,3.265026465,92299108476,1.07677E11,108143.5366,113152.1908,129217.2465,134707,1.703369565,0.870906691,99.36946586,3.685815253355397,-77.18358190641676
2847,2018M10 [2018M10],Italy,113.1578947,111.2524588,1.611544077,110.2481122,111.2798265,67.83907217,53709.5189,10.9586367,39289604696,48894512294,55.20859709,53.67624397,45702,50548,1686.197174,0.870906691,77.2307669,2.3730173034791937,1.7560979753976333
2848,2018M10 [2018M10],Japan,101.4098691,105.0619835,1.395812562,100.7014028,105.5900621,171.9098516,1224042.802,2.43946656,1.42418E11,1.57197E11,66749.21112,68283.67881,62029,64261,112.7608696,112.7608696,83.63438151,0.6994226527299392,-4.450054707312527
2849,2018M10 [2018M10],United Kingdom,121.4708561,120.8087185,2.418308894,120.6155239,121.5273034,114.0179032,145818.7751,4.0,40871700439,43683635981,55.95687176,,29112.65897,29882.45679,0.768699154,0.768699154,100.1818296,3.1951781473284693,65.66646187727783
