,Time,Country,"CPI Price, % y-o-y, median weighted, seas. adj.,","CPI Price, % y-o-y, not seas. adj.,,","CPI Price, seas. adj.,,,","CPI Price,not seas.adj,,,","Core CPI,not seas.adj,,,","Core CPI,seas.adj,,,","Exchange rate, new LCU per USD extended backward, period average,,","Exchange rate, old LCU per USD extended forward, period average,,","Exports Merchandise, Customs, Price, US$, not seas. adj.","Exports Merchandise, Customs, Price, US$, seas. adj.","Exports Merchandise, Customs, constant US$, millions, not seas. adj.","Exports Merchandise, Customs, constant US$, millions, seas. adj.","Exports Merchandise, Customs, current US$, millions, not seas. adj.","Exports Merchandise, Customs, current US$, millions, seas. adj.","GDP,constant 2010 LCU,millions,seas. adj.,","GDP,constant 2010 US$,millions,seas. adj.,","GDP,current LCU,millions,seas. adj.,","GDP,current US$,millions,seas. adj.,","Imports Merchandise, Customs, Price, US$, not seas. adj.","Imports Merchandise, Customs, Price, US$, seas. adj.","Imports Merchandise, Customs, constant US$, millions, not seas. adj.","Imports Merchandise, Customs, constant US$, millions, seas. adj.","Imports Merchandise, Customs, current US$, millions, not seas. adj.","Imports Merchandise, Customs, current US$, millions, seas. adj.","Industrial Production, constant US$, seas. adj.,,","Industrial Production, constant US$,,,","Retail Sales Volume,Index,,,","Stock Markets, LCU,,,","Stock Markets, US$,,,","Total Reserves,,,,","Unemployment rate,Percent,,,"
0,2016M06 [2016M06],France,108.1049251,..,106.6446949,0.169762333,107.0106383,107.5221712,..,..,119.5341598,94.18349891,58597.32792,9.651851852,29866814591,32665555441,0.758542901,0.740618021,46.596,48313,63691.84916,62.91502328,..,0.887121269,..,48703.13824,0.889645596,51148.36534,54900.20358,57492.96752,5.835227273,0.889432139,98.63129109
0,2016M06 [2016M06],Germany,109.4198985,..,108.4142395,0.299401198,108.619022,109.1007584,..,..,168.1524308,132.4843493,67156.78157,4.259386409,89213655948,1.06895E+11,0.805459625,0.802894937,90291.20001,92252.11951,114533.5118,112457.0549,..,0.836139686,..,115344.7448,0.837143475,119214,137949.1331,142405.697,1.739863636,0.889432139,91.53413055
0,2016M06 [2016M06],India,..,..,157.8108821,5.777312844,..,158.0801944,..,..,154.7919763,105.628295,363506,8.5,54422585251,51868198905,..,..,30784.41798,30917.01,..,..,..,..,..,1550.335755,..,1524.65,..,..,67.29227273,67.29227273,..
0,2016M06 [2016M06],Italy,111.622807,..,108.0173193,-0.398886964,108.5221143,108.35141,..,..,73.2611261,57.72910563,49805.92171,11.86245704,36530503243,43045295153,0.850414497,0.846711979,56.98490863,58.89251995,69.25154755,67.30140834,..,0.953380806,..,38956,0.954888115,41063,40860.90232,43002.94386,1722.435455,0.889432139,76.3525633
0,2016M06 [2016M06],Japan,101.2084592,..,103.2024793,-0.299401198,100.6012024,103.4161491,..,..,150.7163653,130.2768746,1234052.993,3.091546763,1.34167E+11,1.4819E+11,0.802048901,0.78087309,52106.9226,50681.63935,63190.21108,66729.05403,..,0.833243084,..,55455,0.841304802,57194,66553.20762,67982.49561,105.3413636,105.3413636,82.40558425
0,2016M06 [2016M06],United Kingdom,115.2663934,..,113.8881963,0.455433958,114.4715999,114.5693856,..,..,122.2680985,107.4861275,149680.191,4.9,39833942420,41646152960,0.906423311,0.913758152,68.54395585,54610,..,75.01323591,..,0.928900327,..,24899.40084,0.906787415,25059.45679,26805.24499,27704.82066,0.704846976,0.704846976,104.9376021
0,2016M06 [2016M06],United States,112.5896241,..,110.4171265,1.046466126,112.1477748,111.2286385,..,..,169.5584836,169.5584836,121964.0234,4.9,2.68749E+11,2.74234E+11,0.958697379,0.938232995,184476.3004,188539.3,196661.9542,196620.9901,..,0.994616892,..,119850.9,1.001657001,125098.5,120499.5622,124891.5546,1,1,127.3937954
0,2016M07 [2016M07],Brazil,152.479575,..,155.0435529,8.667814405,152.0447412,155.1200242,..,..,80.23256339,43.51620113,369340,11.47695478,36365036745,42078529847,0.928571429,0.91144528,10488.94525,11754,12658.15385,11508.03617,..,0.861275964,..,14938.15297,0.881113619,16328,17344.21206,18531.09479,3.279333333,3.279333333,89.57874667
0,2016M07 [2016M07],Canada,110.9318996,..,110.9671848,1.101494886,110.4371097,111.9895743,..,..,123.9549966,99.06740724,82904.06962,7,20455316976,19419573461,0.961429222,0.963124864,51.393,39221,40794.47462,53.3606824,..,0.848950428,..,33078.8,0.850679247,33.22022913,38964.3481,39.05141596,1.304261905,1.304261905,92.47298535
0,2016M07 [2016M07],China,111.2800875,..,119.9081534,1.932339277,111.2435743,118.6333955,..,..,95.04357632,97.14136432,3224057.21,4.041330296,4.17026E+11,3.78054E+11,0.921427341,0.957107599,128343.4744,130591.2798,141727.1596,134095.1368,..,1.138727653,..,174209.1943,1.074317876,180659,152985.8293,168161.5879,6.679619048,6.679619048,..
0,2016M07 [2016M07],France,107.6659529,..,106.6340634,0.1998002,107.0531915,107.1161449,..,..,120.0941317,93.07114065,55204.89151,9.603703704,29842757552,28875883832,0.743350026,0.726533778,45.365,43899,59055.62446,62.44031778,..,0.871298984,..,43325.84334,0.873015829,44701.23319,49725.57543,51203.23332,5.93,0.904001906,97.68941637
