,Time,Country,"Core CPI,not seas.adj,,,","CPI Price, % y-o-y, median weighted, seas. adj.,","CPI Price, seas. adj.,,,","CPI Price, % y-o-y, not seas. adj.,,","Core CPI,seas.adj,,,","CPI Price,not seas.adj,,,","GDP,current LCU,millions,seas. adj.,","GDP,current US$,millions,seas. adj.,","Stock Markets, LCU,,,","Stock Markets, US$,,,","Total Reserves,,,,","Unemployment rate,Percent,,,","Industrial Production, constant US$, seas. adj.,,","Industrial Production, constant US$,,,","Imports Merchandise, Customs, Price, US$, not seas. adj.","Imports Merchandise, Customs, Price, US$, seas. adj.","Imports Merchandise, Customs, current US$, millions, seas. adj.","Imports Merchandise, Customs, current US$, millions, not seas. adj.","Imports Merchandise, Customs, constant US$, millions, not seas. adj.","Imports Merchandise, Customs, constant US$, millions, seas. adj.","GDP,constant 2010 US$,millions,seas. adj.,","Exports Merchandise, Customs, Price, US$, seas. adj.","GDP,constant 2010 LCU,millions,seas. adj.,","Exports Merchandise, Customs, current US$, millions, seas. adj.","Exports Merchandise, Customs, Price, US$, not seas. adj.","Exports Merchandise, Customs, current US$, millions, not seas. adj.","Exports Merchandise, Customs, constant US$, millions, seas. adj.","Exports Merchandise, Customs, constant US$, millions, not seas. adj.","Exchange rate, old LCU per USD extended forward, period average,,","Exchange rate, new LCU per USD extended backward, period average,,","Retail Sales Volume,Index,,,"
0,2015Q1 [2015Q1],Italy,..,..,..,..,..,..,409709,461249.3863,..,..,..,..,..,..,0.902525677,0.899392266,171.7318548,174.4909715,193.6289945,190.9933046,533344.6369,0.950518637,411343,115892,0.951092812,111377,121969.0397,117374.944,..,..,..
0,2015Q1 [2015Q1],Japan,..,..,..,..,..,..,132320300,1110450.17,..,..,..,..,..,..,0.897710883,0.870111881,171060.4498,170994.9907,190314.55,196603.1239,1461319.349,0.825848301,129315500,161367,0.843738354,159490,195368.6164,189090.4142,..,..,..
0,2015Q1 [2015Q1],United Kingdom,..,..,..,..,..,..,472228,715517.5323,..,..,..,..,..,..,0.77428882,0.970691833,214.855223,143576,185442.5935,221.3315896,681706.5247,0.949237474,484920,71133.68338,0.792926742,70264,74941.2143,88614.04953,..,..,..
0,2015Q1 [2015Q1],United States,..,..,..,..,..,..,4496100,4496100,..,..,..,..,..,..,0.997617156,0.986447746,567886.8948,542405.3,543730.0872,575733.1105,4125050.537,1.040902006,4319400,383706,1.043634355,372774.9,368624.1857,357194.5288,..,..,..
0,2015Q2 [2015Q2],Brazil,..,..,..,..,..,..,1485495.496,483684.8621,..,..,..,..,..,..,1.035997732,1.010025063,44632.21103,43777,42266.81136,44190.80389,553406.6315,0.919634026,299360,49168.29618,0.93278154,51528,53486.61793,55247.74134,..,..,..
0,2015Q2 [2015Q2],Canada,..,..,..,..,..,..,496230,403645.0165,..,..,..,..,..,..,1.001129175,1.002019386,134.722,108158,108038.5953,134.4535407,442448.8409,0.891491286,482751.25,105926.4,0.892125353,109.7976768,118831.3722,123.0742778,..,..,..
0,2015Q2 [2015Q2],China,..,..,..,..,..,..,17101022.07,2756460.948,..,..,..,..,..,..,1.039230527,1.060328059,417381.1543,413729.5319,398206.9092,393641.9348,2127859.799,1.245086107,17060659.56,557069.6296,1.21387386,554247,447391.6991,457013.2555,..,..,..
0,2015Q2 [2015Q2],France,..,..,..,..,..,..,547483,605625.1254,..,..,..,..,..,..,0.808602571,0.793884377,134.673,140650,173923.6269,169.6805496,720710.15,0.913233914,542234,141473.8075,0.918052721,144077.5161,154833.5889,156852.2971,..,..,..
0,2015Q2 [2015Q2],Germany,..,..,..,..,..,..,755270,835478.8887,..,..,..,..,..,..,0.834515774,0.830467927,261946.8174,262049.5978,313991.3769,315417.3566,963665.7494,0.835904391,754630,330562.7509,0.835827673,333061,395424.6205,398429.7799,..,..,..
0,2015Q2 [2015Q2],India,..,..,..,..,..,..,33272890,524571.2057,..,..,..,..,..,..,0.962990433,0.962990433,100262.9893,99880.5,102907.9402,103856.3273,531291.1515,..,27697300,4318.225308,..,4252.15,..,..,..,..,..
0,2015Q2 [2015Q2],Italy,..,..,..,..,..,..,412307,456093.5747,..,..,..,..,..,..,0.901341557,0.897277791,169.6076645,177.6451044,197.1127273,189.03404,535472.3468,0.945811966,412984,115103,0.944190366,118523,121692.7916,125510.3767,..,..,..
0,2015Q2 [2015Q2],Japan,..,..,..,..,..,..,132921500,1095088.741,..,..,..,..,..,..,0.872370385,0.847200207,163658.602,157588.9856,180623.8256,193131.1065,1462928.528,0.821241062,129457900,156738,0.834607667,154872,190855.5026,185578.2908,..,..,..
0,2015Q2 [2015Q2],United Kingdom,..,..,..,..,..,..,479400,734733.5446,..,..,..,..,..,..,0.789690161,0.98106664,213.1392381,149794,189701.8931,217.2592038,686567.8238,0.965007683,488378,73525.96379,0.804115506,74833,76205.12932,93078.73523,..,..,..
0,2015Q2 [2015Q2],United States,..,..,..,..,..,..,4554900,4554900,..,..,..,..,..,..,1.001323802,0.982277821,566235.6988,574017.9,573257.0696,576463.6627,4155610.712,1.032362907,4351400,381759.2,1.038663353,387682.2,369790.8035,373254.5483,..,..,..
0,2015Q3 [2015Q3],Brazil,..,..,..,..,..,..,1503995.035,424200.1277,..,..,..,..,..,..,1.011054422,0.992759677,39454.00742,42131,41664.77624,39738.07411,545400.204,0.890949555,295029,47138.92921,0.908703286,50131,52889.19672,55115.60859,..,..,..
0,2015Q3 [2015Q3],Canada,..,..,..,..,..,..,500216,381716.0636,..,..,..,..,..,..,0.973027268,0.976399021,130.784,110765,113840.0193,133.9371334,444013.7906,0.85052498,484458.75,102894.3,0.851153806,102.9019801,120988.1675,120.9577069,..,..,..
