,Column,Time,Country,"Core CPI,not seas.adj,,,","CPI Price, seas. adj.,,,","CPI Price, % y-o-y, not seas. adj.,,","Core CPI,seas.adj,,,","CPI Price,not seas.adj,,,","Stock Markets, US$, Billions","Total Reserves,,,,","Unemployment rate,Percent,,,","Industrial Production, constant US$, seas. adj.,,","Industrial Production, constant US$,,,","Imports Merchandise, Customs, current US$, millions, seas. adj.","Imports Merchandise, Customs, current US$, millions, not seas. adj.","Exports Merchandise, Customs, current US$, millions, seas. adj.","Exports Merchandise, Customs, current US$, millions, not seas. adj.","Exchange rate, old LCU per USD extended forward, period average,,","Exchange rate, new LCU per USD extended backward, period average,,","Retail Sales Volume,Index,,,",Retail Sales Volume to CPI Correlaton,Stock Market Value to CPI Correlaton,US Stock Market to Stock Market,US Unemployment as leading/trailing
50,50,1990M09 [1990M09],Japan,95.66968781,94.56446321,2.827247118,,95.13457557,147.2799183,74433.09358,2.090744046,,,19881.48566,19546.7304,25067.0,26625.0,138.6945,138.6945,61.95258271,-3.363036397164916,7.213231013680332,6.153868926169365,0.229752092967033
51,51,1990M09 [1990M09],United Kingdom,,64.45816064,8.151891325,,64.89957644,42.44115351,36498.33801,7.2,,,33842.58121,16085.0,16783.0,15288.0,0.531460644,0.531460644,,,-0.4889672525818837,1.773339493874318,0.7912087912087913
52,52,1990M09 [1990M09],United States,62.33926738,60.92290149,6.169871795,62.13938985,61.24040667,24.35902726,83480.14913,5.9,,,39912.46896,40601.5,32311.6,31444.3,1.0,1.0,58.38928606,-0.705325479614898,-1.0157473230893936,1.0178051607937817,0.6483516483516484
53,53,1990M10 [1990M10],Canada,71.59498208,68.70906761,4.772530856,,69.07037359,23.94292951,17418.98573,8.8,,,10098.7,11363.0,11209.7,12436.0,1.15973913,1.15973913,,,-1.6238109168213055,1.0004191448078263,0.9670329670329672
54,54,1990M10 [1990M10],France,,72.71954072,3.774235669,74.02394586,73.10610108,35.86053505,38203.2715,7.614814815,,,21114.0,17232.80519,21455.55339,19151.46074,5.105,0.727699688,,,-2.315656481244599,1.4983782912649974,0.8367928368131868
55,55,1990M10 [1990M10],Germany,,69.0399137,3.225806452,71.84154176,68.90574215,,71845.89498,4.841624063,,,34726.95872,38043.16597,36670.27464,41017.0,1.524347826,0.727699688,107.6716128,1.586264458338752,,,0.5320466003296703
56,56,1990M10 [1990M10],Japan,95.97180262,95.37903807,3.156665785,,96.16977226,157.2323773,75271.37192,2.247841449,,,22754.65291,24245.10884,26659.0,27571.0,129.6304348,129.6304348,66.93371862,-1.9054235004131832,4.813054064076844,6.569717392722152,0.24701554384615387
57,57,1990M10 [1990M10],United Kingdom,,64.86328182,8.128208633,,65.35501207,44.00360619,36668.96738,7.3,,,37232.5413,17401.0,16971.0,15954.0,0.513045829,0.513045829,,,-0.4756505181185333,1.838624219090397,0.8021978021978022
58,58,1990M10 [1990M10],United States,62.61188808,61.33671743,6.379585327,62.36601052,61.60960279,23.4980499,86870.87574,5.9,,,42471.70071,47394.8,34492.6,35310.3,1.0,1.0,57.96376957,-0.6804823600668187,-0.9743879349517728,0.9818305222755355,0.6483516483516484
59,59,1990M11 [1990M11],Canada,71.86379928,68.99684924,5.08687574,,69.50477845,23.93289816,17759.91513,9.1,,,10031.0,11749.0,10776.3,12595.0,1.163590909,1.163590909,,,-1.4340578033729232,0.5357380888352851,1.1973684210526316
